Date;facebook;apple
2/01/2018;181.42;172.26
3/01/2018;184.67;172.23
4/01/2018;184.33;173.03
5/01/2018;186.85;175
8/01/2018;188.28;174.35
9/01/2018;187.87;174.33
10/01/2018;187.84;174.29
11/01/2018;187.77;175.28
12/01/2018;179.37;177.09
16/01/2018;178.39;176.19
17/01/2018;177.6;179.1
18/01/2018;179.8;179.26
19/01/2018;181.29;178.46
22/01/2018;185.37;177
23/01/2018;189.35;177.04
24/01/2018;186.55;174.22
25/01/2018;187.48;171.11
26/01/2018;190;171.51
29/01/2018;185.98;167.96
30/01/2018;187.12;166.97
31/01/2018;186.89;167.43
1/02/2018;193.09;167.78
2/02/2018;190.28;160.5
5/02/2018;181.26;156.49
6/02/2018;185.31;163.03
7/02/2018;180.18;159.54
8/02/2018;171.58;155.15
9/02/2018;176.11;156.41
12/02/2018;176.41;162.71
13/02/2018;173.15;164.34
14/02/2018;179.52;167.37
15/02/2018;179.96;172.99
16/02/2018;177.36;172.43
20/02/2018;176.01;171.85
21/02/2018;177.91;171.07
22/02/2018;178.99;172.5
23/02/2018;183.29;175.5
26/02/2018;184.93;178.97
27/02/2018;181.46;178.39
28/02/2018;178.32;178.12
1/03/2018;175.94;175
2/03/2018;176.62;176.21
5/03/2018;180.4;176.82
6/03/2018;179.78;176.67
7/03/2018;183.71;175.03
8/03/2018;182.34;176.94
9/03/2018;185.23;179.98
12/03/2018;184.76;181.72
13/03/2018;181.88;179.97
14/03/2018;184.19;178.44
15/03/2018;183.86;178.65
16/03/2018;185.09;178.02
19/03/2018;172.56;175.3
20/03/2018;168.15;175.24
21/03/2018;169.39;171.27
22/03/2018;164.89;168.85
23/03/2018;159.39;164.94
26/03/2018;160.06;172.77
27/03/2018;152.22;168.34
28/03/2018;153.03;166.48
29/03/2018;159.79;167.78
2/04/2018;155.39;166.68
3/04/2018;156.11;168.39
4/04/2018;155.1;171.61
5/04/2018;159.34;172.8
6/04/2018;157.2;168.38
9/04/2018;157.93;170.05
10/04/2018;165.04;173.25
11/04/2018;166.32;172.44
12/04/2018;163.87;174.14
13/04/2018;164.52;174.73
16/04/2018;164.83;175.82
17/04/2018;168.66;178.24
18/04/2018;166.36;177.84
19/04/2018;168.1;172.8
20/04/2018;166.28;165.72
23/04/2018;165.84;165.24
24/04/2018;159.69;162.94
25/04/2018;159.69;163.65
26/04/2018;174.16;164.22
27/04/2018;173.59;162.32
30/04/2018;172;165.26
1/05/2018;173.86;169.1
2/05/2018;176.07;176.57
3/05/2018;174.02;176.89
4/05/2018;176.61;183.83
7/05/2018;177.97;185.16
8/05/2018;178.92;186.05
9/05/2018;182.66;187.36
10/05/2018;185.53;190.04
11/05/2018;186.99;188.59
14/05/2018;186.64;188.15
15/05/2018;184.32;186.44
16/05/2018;183.2;188.18
17/05/2018;183.76;186.99
18/05/2018;182.68;186.31
21/05/2018;184.49;187.63
22/05/2018;183.8;187.16
23/05/2018;186.9;188.36
24/05/2018;185.93;188.15
25/05/2018;184.92;188.58
29/05/2018;185.74;187.9
30/05/2018;187.67;187.5
31/05/2018;191.78;186.87
1/06/2018;193.99;190.24
4/06/2018;193.28;191.83
5/06/2018;192.94;193.31
6/06/2018;191.34;193.98
7/06/2018;188.18;193.46
8/06/2018;189.1;191.7
11/06/2018;191.54;191.23
12/06/2018;192.4;192.28
13/06/2018;192.41;190.7
14/06/2018;196.81;190.8
15/06/2018;195.85;188.84
18/06/2018;198.31;188.74
19/06/2018;197.49;185.69
20/06/2018;202;186.5
21/06/2018;201.5;185.46
22/06/2018;201.74;184.92
25/06/2018;196.35;182.17
26/06/2018;199;184.43
27/06/2018;195.84;184.16
28/06/2018;196.23;185.5
29/06/2018;194.32;185.11
2/07/2018;197.36;187.18
3/07/2018;192.73;183.92
5/07/2018;198.45;185.4
6/07/2018;203.23;187.97
9/07/2018;204.74;190.58
10/07/2018;203.54;190.35
11/07/2018;202.54;187.88
12/07/2018;206.92;191.03
13/07/2018;207.32;191.33
16/07/2018;207.23;190.91
17/07/2018;209.99;191.45
18/07/2018;209.36;190.4
19/07/2018;208.09;191.88
20/07/2018;209.94;191.44
23/07/2018;210.91;191.61
24/07/2018;214.67;193
25/07/2018;217.5;194.82
26/07/2018;176.26;194.21
27/07/2018;174.89;190.98
30/07/2018;171.06;189.91
31/07/2018;172.58;190.29
1/08/2018;171.65;201.5
2/08/2018;176.37;207.39
3/08/2018;177.78;207.99
6/08/2018;185.69;209.07
7/08/2018;183.81;207.11
8/08/2018;185.18;207.25
9/08/2018;183.09;208.88
10/08/2018;180.26;207.53
