Pais;Europa;Latam;USA;Mundo
1962;270324828;232897323;186538000;3126522093
1963;272876447;239401268;189242000;3191775835
1964;275382197;246016368;191889000;3257440880
1965;277856703;252710310;194303000;3324538968
1966;280147494;259468669;196560000;3394809860
1967;282114545;266295880;198712000;3464473634
1968;283966953;273209036;200706000;3535103119
1969;285855058;280225795;202677000;3610072658
1970;287416205;287361389;205052000;3685815205
1971;289032499;294620137;207661000;3763467423
1972;291040689;301984430;209896000;3840341722
1973;292961768;309446959;211909000;3916313974
1974;294689415;316987646;213854000;3992941316
1975;296244715;324590837;215973000;4067812797
1976;297573002;332247800;218035000;4140725717
1977;298738608;339956419;220239000;4213403178
1978;299908948;347735305;222585000;4287248579
1979;301099972;355593111;225055000;4362952966
1980;302363486;363543431;227225000;4439412151
1981;303498663;371580994;229466000;4517865693
1982;304314034;379697683;231664000;4599238699
1983;304920007;387868173;233792000;4681318990
1984;305432240;396059351;235825000;4763100740
1985;306018719;404246768;237924000;4846395309
1986;306797207;412413602;240133000;4932167979
1987;307668322;420560827;242289000;5020053998
1988;308725859;428701267;244499000;5108862657
1989;310080079;436857131;246819000;5197808183
1990;311539698;445044474;249623000;5288137359
1991;312708142;453251622;252981000;5375716954
1992;314162056;461466819;256514000;5459838024
1993;315449104;469673465;259919000;5544808371
1994;316366779;477832467;263126000;5628818958
1995;317181449;485913138;266278000;5713659163
1996;318003015;493920488;269394000;5796553892
1997;318761764;501837820;272657000;5879181284
1998;319433983;509664957;275854000;5960951251
1999;320258902;517324344;279040000;6041479766
2000;321310787;524829251;282162411;6121371868
2001;322547880;532172709;284968955;6200826289
2002;324125338;539372044;287625193;6280008070
2003;325885964;546478662;290107933;6359405021
2004;327682507;553563090;292805298;6439366735
2005;329380413;560673962;295516599;6519872183
2006;330922791;567821716;298379912;6601083228
2007;332645166;574994397;301231207;6682860600
2008;334274730;582179826;304093966;6765986891
2009;335360887;589349327;306771529;6849272706
2010;336151474;596478519;309326085;6932596129
2011;335419640;603537118;311580009;7014792135
2012;336159190;610547919;313874218;7099311892
2013;337302116;617495658;316057727;7184861447
2014;338466271;624335544;318386421;7271057715
2015;339533474;631062646;320742673;7357233590
2016;340616862;637663866;323071342;7443810911
2017;341443382;644124651;325147121;7529719387
